Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
57;tt26470109;21-05-2025;21-05-2025;;Oddity;Oddity;https://www.imdb.com/title/tt26470109/;Movie;7.60;98;2024;Horror, Thriller;44379;19-07-2024;Damian Mc Carthy;76;78;78;41;67;40017;68;143052;74;the scores are odd
58;tt28082769;21-05-2025;21-05-2025;;sep-05;sep-05;https://www.imdb.com/title/tt28082769/;Movie;7.61;95;2024;Drama, History, Thriller;24882;17-01-2025;Tim Fehlbaum;79;111;76;41;71;20037;68;97436;74;
59;tt27657135;21-05-2025;21-05-2025;;Saturday Night;Saturday Night;https://www.imdb.com/title/tt27657135/;Movie;7.62;109;2024;Biography, Comedy, Drama, History;31447;11-10-2024;Jason Reitman;68;127;60;41;69;28826;70;266178;67;
60;tt11315808;21-05-2025;21-05-2025;;Joker: Folie à Deux;Joker: Folie à Deux;https://www.imdb.com/title/tt11315808/;Movie;7.63;138;2024;Drama, Musical, Thriller;162623;04-10-2024;Todd Phillips;48;213;45;41;52;156462;48;682409;44;
61;tt31193791;21-05-2025;21-05-2025;;The Last Showgirl;The Last Showgirl;https://www.imdb.com/title/tt31193791/;Movie;7.64;88;2024;Drama;12155;10-01-2025;Gia Coppola;68;114;66;41;65;8789;66;83380;71;
62;tt12349832;21-05-2025;21-05-2025;;Cuckoo;Cuckoo;https://www.imdb.com/title/tt12349832/;Movie;7.65;102;2024;Horror, Mystery, Thriller;27570;09-08-2024;Tilman Singer;66;106;62;41;57;25061;58;225817;63;
63;tt9466114;21-05-2025;21-05-2025;;The Idea of You;The Idea of You;https://www.imdb.com/title/tt9466114/;Movie;7.66;115;2024;Comedy, Drama, Romance;73983;02-05-2024;Michael Showalter;66;94;67;41;63;71718;50;574580;65;
64;tt22022452;21-05-2025;21-05-2025;;Inside Out 2;Inside Out 2;https://www.imdb.com/title/tt22022452/;Movie;7.67;96;2024;Animation, Adventure, Comedy, Drama, Family, Fantasy;218962;14-06-2024;Kelsey Mann;75;181;73;41;75;210983;72;1879861;77;
65;tt27218960;21-05-2025;21-05-2025;;Y2K;Y2K;https://www.imdb.com/title/tt27218960/;Movie;7.68;91;2024;Comedy, Horror, Sci-Fi;15372;06-12-2024;Kyle Mooney;52;52;49;41;49;9783;52;105282;47;
66;tt8864596;21-05-2025;21-05-2025;;Transformers One;Transformers One;https://www.imdb.com/title/tt8864596/;Movie;7.69;104;2024;Animation, Action, Adventure, Family, Fantasy, Sci-Fi;52173;20-09-2024;Josh Cooley;71;97;64;41;76;47362;76;206575;75;
