Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
132;tt20201748;21-05-2025;21-05-2025;;Greedy People;Greedy People;https://www.imdb.com/title/tt20201748/;Movie;7.135;112;2024;Comedy, Crime;12133;23-08-2024;Potsy Ponciroli;56;25;45;41;62;10595;62;11393;55;
133;tt24577462;21-05-2025;21-05-2025;;Afraid;AfrAId;https://www.imdb.com/title/tt24577462/;Movie;7.136;84;2024;Horror, Mystery, Sci-Fi, Thriller;14362;30-08-2024;Chris Weitz;36;36;28;41;52;13320;36;44745;43;
134;tt15939198;21-05-2025;21-05-2025;;Blitz;Blitz;https://www.imdb.com/title/tt15939198/;Movie;7.137;120;2024;Action, Drama, History, War;16492;01-11-2024;Steve McQueen;70;97;71;41;62;15547;60;52115;65;
135;tt5672290;21-05-2025;21-05-2025;;The First Omen;The First Omen;https://www.imdb.com/title/tt5672290/;Movie;7.138;119;2024;Horror;64827;05-04-2024;Arkasha Stevenson;69;121;65;41;65;63176;68;290227;67;
136;tt33428606;21-05-2025;21-05-2025;;Solo Leveling: ReAwakening;Solo Leveling: ReAwakening;https://www.imdb.com/title/tt33428606/;Movie;7.139;121;2024;Animation, Action, Adventure, Fantasy;13052;06-12-2024;Shunsuke Nakashige;*;*;*;*;87;6921;74;6567;81;missing rt and mc
137;tt1660648;21-05-2025;21-05-2025;;Ricky Stanicky;Ricky Stanicky;https://www.imdb.com/title/tt1660648/;Movie;7.140;113;2024;Comedy;56649;07-03-2024;Peter Farrelly;50;50;44;41;62;55102;54;184769;56;
138;tt33175825;21-05-2025;21-05-2025;;Attack on Titan the Movie: The Last Attack;Shingeki no Kyojin: The Last Attack;https://www.imdb.com/title/tt33175825/;Movie;7.141;145;2024;Animation, Action, Adventure, Drama;16576;08-11-2024;Yûichirô Hayashi;*;*;*;*;93;13975;90;27696;92;missing rt and mc
139;tt28510079;21-05-2025;21-05-2025;;Culpa Tuya;Culpa Tuya;https://www.imdb.com/title/tt28510079/;Movie;7.142;118;2024;Drama, Romance;13558;27-12-2024;Domingo González;43;7;*;*;52;12523;34;99107;43;missing mc, check release date
140;tt14857528;21-05-2025;21-05-2025;;Time Cut;Time Cut;https://www.imdb.com/title/tt14857528/;Movie;7.143;91;2024;Horror, Mystery, Sci-Fi, Thriller;19282;30-10-2024;Hannah Macpherson;40;25;36;41;50;18208;42;147494;46;check release date
141;tt14371860;21-05-2025;21-05-2025;;Apartment 7A;Apartment 7A;https://www.imdb.com/title/tt14371860/;Movie;7.144;107;2024;Horror, Thriller;16803;27-09-2024;Natalie Erika James;54;49;49;41;59;15711;54;38714;53;check release date
142;tt23782584;21-05-2025;21-05-2025;;Nr. 24;Nr. 24;https://www.imdb.com/title/tt23782584/;Movie;7.145;111;2024;Biography, Drama, War;15626;01-01-2025;John Andreas Andersen;*;*;*;*;75;14178;72;18111;74;no rt nor metacritic, check date
143;tt21284218;21-05-2025;21-05-2025;;Incoming;Incoming;https://www.imdb.com/title/tt21284218/;Movie;7.146;91;2024;Comedy;14089;23-08-2024;Dave Chernin, John Chernin;40;18;38;41;58;13436;44;112235;48;
144;tt13186604;21-05-2025;21-05-2025;;Uglies;Uglies;https://www.imdb.com/title/tt13186604/;Movie;7.147;100;2024;Action, Adventure, Drama, Fantasy, Sci-Fi;33207;13-09-2024;McG;35;32;34;41;47;31941;28;201717;40;
145;tt27802490;21-05-2025;21-05-2025;;Exhuma;Pamyo;https://www.imdb.com/title/tt27802490/;Movie;7.148;134;2024;Drama, Horror, Mystery, Thriller;23897;22-02-2024;Jang Jae-hyun;78;33;80;41;69;22516;72;106973;79;
146;tt21051906;21-05-2025;21-05-2025;;A Family Affair;A Family Affair;https://www.imdb.com/title/tt21051906/;Movie;7.149;111;2024;Comedy, Drama, Romance;36942;28-06-2024;Richard LaGravenese;46;55;43;41;53;35935;40;148779;45;
147;tt3083016;21-05-2025;21-05-2025;;Beverly Hills Cop: Axel F;Beverly Hills Cop: Axel F;https://www.imdb.com/title/tt3083016/;Movie;7.150;118;2024;Action, Comedy, Crime, Thriller;81785;03-07-2024;Mark Molloy;59;109;53;41;64;80289;58;82826;62;
148;tt4196566;21-05-2025;21-05-2025;;The Deliverance;The Deliverance;https://www.imdb.com/title/tt4196566/;Movie;7.151;112;2024;Drama, Horror, Mystery, Thriller;22679;30-08-2024;Lee Daniels;47;46;39;41;51;21987;40;86487;48;
149;tt1121948;21-05-2025;21-05-2025;;The Killer;The Killer;https://www.imdb.com/title/tt1121948/;Movie;7.152;126;2024;Action, Thriller;13123;23-08-2024;John Woo;59;33;60;41;57;12251;54;14423;61;
150;tt21830902;21-05-2025;21-05-2025;;Upgraded;Upgraded;https://www.imdb.com/title/tt21830902/;Movie;7.153;104;2024;Comedy, Romance;29734;09-02-2024;Carlson Young;60;30;59;41;61;28596;56;193843;62;
151;tt27599851;21-05-2025;21-05-2025;;Apocalypse Z: The Beginning of the End;Apocalipsis Z: El principio del fin;https://www.imdb.com/title/tt27599851/;Movie;7.154;117;2024;Action, Horror, Sci-Fi, Thriller;20266;31-10-2024;Carles Torrens;*;*;*;*;61;19188;56;30004;59;rt and mc, check release date
152;tt14088510;21-05-2025;21-05-2025;;Tarot;Tarot;https://www.imdb.com/title/tt14088510/;Movie;7.155;92;2024;Horror;32021;03-05-2024;Spenser Cohen, Anna Halberg;41;48;36;41;48;30803;40;1833008;46;
153;tt8542964;21-05-2025;21-05-2025;;Sleeping Dogs;Sleeping Dogs;https://www.imdb.com/title/tt8542964/;Movie;7.156;110;2024;Crime, Mystery, Thriller;21918;22-03-2024;Adam Cooper;51;30;45;41;62;20882;54;14676;56;
154;tt14371878;21-05-2025;21-05-2025;;Lift;Lift;https://www.imdb.com/title/tt14371878/;Movie;7.157;107;2024;Action, Comedy, Crime, Drama, Thriller;49639;12-01-2024;F. Gary Gray;45;48;40;41;55;48703;42;77457;49;
155;tt5779228;21-05-2025;21-05-2025;;The Garfield Movie;The Garfield Movie;https://www.imdb.com/title/tt5779228/;Movie;7.158;101;2024;Animation, Adventure, Comedy, Family, Fantasy;24395;24-05-2024;Mark Dindal;44;78;31;41;57;23523;50;130647;53;
156;tt12735488;21-05-2025;21-05-2025;;Kalki 2898 AD;Kalki 2898-AD;https://www.imdb.com/title/tt12735488/;Movie;7.159;180;2024;Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller;67198;27-06-2024;Nag Ashwin;*;*;65;41;70;65695;62;34735;66;missing rt, check date
157;tt10720352;21-05-2025;21-05-2025;;Arthur the King;Arthur the King;https://www.imdb.com/title/tt10720352/;Movie;7.160;107;2024;Adventure, Drama, Sport;34653;15-03-2024;Simon Cellan Jones;58;51;54;41;70;33515;64;39835;66;
158;tt21261712;21-05-2025;21-05-2025;;Back to Black;Back to Black;https://www.imdb.com/title/tt21261712/;Movie;7.161;122;2024;Biography, Drama, Music;26971;17-05-2024;Sam Taylor-Johnson;48;13;43;41;63;26072;50;132396;57;
159;tt14914430;21-05-2025;21-05-2025;;Unfrosted;Unfrosted;https://www.imdb.com/title/tt14914430/;Movie;7.162;97;2024;Biography, Comedy, History;34920;03-05-2024;Jerry Seinfeld;49;69;42;41;55;34422;42;70416;48;check date
160;tt30319503;21-05-2025;21-05-2025;;Dìdi;Dìdi;https://www.imdb.com/title/tt30319503/;Movie;7.163;93;2024;Comedy, Drama;13044;16-08-2024;Sean Wang;*;*;*;*;*;*;*;*;*;not on the site
161;tt23137904;21-05-2025;21-05-2025;;Rebel Moon - Part Two: The Scargiver;Rebel Moon - Part Two: The Scargiver;https://www.imdb.com/title/tt23137904/;Movie;7.164;122;2024;Action, Adventure, Drama, Fantasy, Sci-Fi;59691;19-04-2024;Zack Snyder;*;*;35;41;53;58658;38;64948;46;missing rt
162;tt14856980;21-05-2025;21-05-2025;;Atlas;Atlas;https://www.imdb.com/title/tt14856980/;Movie;7.165;118;2024;Action, Adventure, Drama, Sci-Fi, Thriller;56347;24-05-2024;Brad Peyton;38;67;37;41;56;55356;40;46686;46;
163;tt17163970;21-05-2025;21-05-2025;;Wallace & Gromit: Vengeance Most Fowl;Wallace & Gromit: Vengeance Most Fowl;https://www.imdb.com/title/tt17163970/;Movie;7.166;82;2024;Animation, Adventure, Comedy, Family, Sci-Fi;35242;03-01-2025;Merlin Crossingham, Nick Park;83;73;83;41;75;32793;78;359785;83;
164;tt26940324;21-05-2025;21-05-2025;;Jackpot!;Jackpot!;https://www.imdb.com/title/tt26940324/;Movie;7.167;106;2024;Action, Comedy;30816;15-08-2024;Paul Feig;46;46;41;41;58;29928;52;64781;51;
165;tt9682428;21-05-2025;21-05-2025;;Night Swim;Night Swim;https://www.imdb.com/title/tt9682428/;Movie;7.168;98;2024;Horror, Mystery, Thriller;27575;05-01-2024;Bryce McGuire;43;107;43;41;47;26922;34;124137;46;
166;tt20194882;21-05-2025;21-05-2025;;Lonely Planet;Lonely Planet;https://www.imdb.com/title/tt20194882/;Movie;7.169;94;2024;Drama, Romance;11835;11-10-2024;Susannah Grant;50;25;46;41;57;11233;42;20322;54;check release date
167;tt22050754;21-05-2025;21-05-2025;;The Strangers: Chapter 1;The Strangers: Chapter 1;https://www.imdb.com/title/tt22050754/;Movie;7.170;91;2024;Horror;22734;17-05-2024;Renny Harlin;43;69;43;41;46;22059;38;119815;45;
168;tt13964390;21-05-2025;21-05-2025;;Under Paris;Sous la Seine;https://www.imdb.com/title/tt13964390/;Movie;7.171;104;2024;Action, Drama, Horror, Sport, Thriller;36573;05-06-2024;Xavier Gens;59;36;57;41;52;35640;42;161366;54;
169;tt21188080;21-05-2025;21-05-2025;;Lisa Frankenstein;Lisa Frankenstein;https://www.imdb.com/title/tt21188080/;Movie;7.172;101;2024;Comedy, Horror, Romance;28350;09-02-2024;Zelda Williams;54;113;47;41;61;27631;70;325505;64;
170;tt5177114;21-05-2025;21-05-2025;;Young Woman and the Sea;Young Woman and the Sea;https://www.imdb.com/title/tt5177114/;Movie;7.173;129;2024;Biography, Drama, Romance, Sport;17305;19-07-2024;Joachim Rønning;67;59;62;41;75;16542;74;27554;74;
171;tt1723808;21-05-2025;21-05-2025;;Reagan;Reagan;https://www.imdb.com/title/tt1723808/;Movie;7.174;141;2024;Biography, Drama, History;11321;30-08-2024;Sean McNamara;36;35;22;41;62;10705;44;8182;51;
172;tt26926267;21-05-2025;21-05-2025;;Mother of the Bride;Mother of the Bride;https://www.imdb.com/title/tt26926267/;Movie;7.175;88;2024;Comedy, Drama, Romance;16990;09-05-2024;Mark Waters;27;35;39;41;48;16661;32;55777;41;
173;tt9860566;21-05-2025;21-05-2025;;Brothers;Brothers;https://www.imdb.com/title/tt9860566/;Movie;7.176;89;2024;Action, Comedy, Crime;13432;17-10-2024;Max Barbakow;47;15;50;41;54;12862;46;19954;53;
174;tt27419292;21-05-2025;21-05-2025;;Killer Heat;Killer Heat;https://www.imdb.com/title/tt27419292/;Movie;7.177;95;2024;Crime, Drama, Mystery, Romance, Thriller;13661;26-09-2024;Philippe Lacôte;41;18;33;41;56;13084;48;20499;45;
175;tt29114029;21-05-2025;21-05-2025;;The Tearsmith;Fabbricante di lacrime;https://www.imdb.com/title/tt29114029/;Movie;7.178;103;2024;Drama, Fantasy, Romance;12574;04-04-2024;Alessandro Genovesi;39;6;*;*;52;11985;30;128483;40;no mc
176;tt20112746;21-05-2025;21-05-2025;;Sting;Sting;https://www.imdb.com/title/tt20112746/;Movie;7.179;91;2024;Horror, Sci-Fi, Thriller;16579;12-04-2024;Kiah Roache-Turner;59;88;57;41;57;15799;50;40315;57;
177;tt20048582;21-05-2025;21-05-2025;;Canary Black;Canary Black;https://www.imdb.com/title/tt20048582/;Movie;7.180;101;2024;Action, Drama, Thriller;11740;24-10-2024;Pierre Morel;44;9;*;*;54;11080;46;6364;48;no mc, check release date
178;tt15980138;21-05-2025;21-05-2025;;Kishkindha Kaandam;Kishkindha Kaandam;https://www.imdb.com/title/tt15980138/;Movie;7.181;133;2024;Drama, Mystery, Thriller;12027;12-09-2024;Dinjith Ayyathan;*;*;*;*;80;10986;78;22100;79;no rt nor metacritic, check date
179;tt4996328;21-05-2025;21-05-2025;;Ordinary Angels;Ordinary Angels;https://www.imdb.com/title/tt4996328/;Movie;7.182;118;2024;Biography, Drama;16000;23-02-2024;Jon Gunn;64;52;57;41;74;15301;66;11994;69;
180;tt16253418;21-05-2025;21-05-2025;;No Way Up;No Way Up;https://www.imdb.com/title/tt16253418/;Movie;7.183;90;2024;Action, Adventure, Drama, Thriller;10662;16-02-2024;Claudio Fäh;47;18;*;*;46;10280;36;29075;43;no mc, check release date
181;tt31711040;21-05-2025;21-05-2025;;Look Back;Rukku bakku;https://www.imdb.com/title/tt31711040/;Movie;7.184;58;2024;Animation, Drama;15317;07-11-2024;Kiyotaka Oshiyama;88;18;90;41;78;13923;86;239711;88;
182;tt21279806;21-05-2025;21-05-2025;;Scoop;Scoop;https://www.imdb.com/title/tt21279806/;Movie;7.185;102;2024;Biography, Drama;20370;05-04-2024;Philip Martin;66;46;63;41;65;20029;60;48889;63;
183;tt23330554;21-05-2025;21-05-2025;;Winnie-the-Pooh: Blood and Honey 2;Winnie-the-Pooh: Blood and Honey II;https://www.imdb.com/title/tt23330554/;Movie;7.186;93;2024;Horror, Thriller;11548;26-06-2024;Rhys Frake-Waterfield;41;32;27;41;47;11114;42;32006;45;
184;tt28075881;21-05-2025;21-05-2025;;Do Patti;Do Patti;https://www.imdb.com/title/tt28075881/;Movie;7.187;126;2024;Crime, Drama, Mystery, Thriller;68788;25-10-2024;Shashanka Chaturvedi;*;*;*;*;64;68318;50;6641;57;
185;tt8521778;21-05-2025;21-05-2025;;Bob Marley: One Love;Bob Marley: One Love;https://www.imdb.com/title/tt8521778/;Movie;7.188;107;2024;Biography, Drama, Music;34872;14-02-2024;Reinaldo Marcus Green;51;110;43;41;62;34101;58;162894;61;
186;tt27729779;21-05-2025;21-05-2025;;The Platform 2;El hoyo 2;https://www.imdb.com/title/tt27729779/;Movie;7.189;99;2024;Horror, Sci-Fi, Thriller;40443;04-10-2024;Galder Gaztelu-Urrutia;52;20;45;41;49;38901;42;185031;46;
187;tt26458038;21-05-2025;21-05-2025;;Manjummel Boys;Manjummel Boys;https://www.imdb.com/title/tt26458038/;Movie;7.190;135;2024;Adventure, Drama, Thriller;27701;22-02-2024;Chidambaram;49;4;*;*;82;26712;80;36601;70;no mc, check date
188;tt5834874;21-05-2025;21-05-2025;;Trigger Warning;Trigger Warning;https://www.imdb.com/title/tt5834874/;Movie;7.191;106;2024;Action, Crime, Thriller;19512;21-06-2024;Mouly Surya;38;28;36;41;46;19144;40;17868;41;
189;tt27757805;21-05-2025;21-05-2025;;Baby John;Baby John;https://www.imdb.com/title/tt27757805/;Movie;7.192;159;2024;Action, Crime, Drama, Thriller;17166;25-12-2024;Kalees;40;11;*;*;54;16634;48;3958;47;no mc, check release date
190;tt29383379;21-05-2025;21-05-2025;;Marco;Marco;https://www.imdb.com/title/tt29383379/;Movie;7.193;145;2024;Action, Crime, Drama, Thriller;21908;20-12-2024;Haneef Adeni;*;*;*;*;*;*;*;*;*;doesn't exist on the site
191;tt27118357;21-05-2025;21-05-2025;;Amaran;Amaran;https://www.imdb.com/title/tt27118357/;Movie;7.194;167;2024;Action, Biography, Drama, War;19008;31-10-2024;Rajkumar Periasamy;*;*;*;*;82;17999;72;21179;77;
192;tt26758372;21-05-2025;21-05-2025;;Meiyazhagan;Meiyazhagan;https://www.imdb.com/title/tt26758372/;Movie;7.195;177;2024;Drama, Family;14471;27-09-2024;C. Prem Kumar;*;*;*;*;*;*;*;*;*;doesn't exist on the site
193;tt28066777;21-05-2025;21-05-2025;;Orion and the Dark;Orion and the Dark;https://www.imdb.com/title/tt28066777/;Movie;7.196;93;2024;Animation, Adventure, Comedy, Family, Fantasy, Mystery;17366;02-02-2024;Sean Charmatz;71;45;72;41;63;16944;62;67869;65;
194;tt27510174;21-05-2025;21-05-2025;;Stree 2: Sarkate Ka Aatank;Stree 2: Sarkate Ka Aatank;https://www.imdb.com/title/tt27510174/;Movie;7.197;147;2024;Comedy, Horror;42461;16-08-2024;Amar Kaushik;62;17;*;*;69;41241;60;20785;63;
195;tt11240348;21-05-2025;21-05-2025;;The Exorcism;The Exorcism;https://www.imdb.com/title/tt11240348/;Movie;7.198;95;2024;Horror, Thriller;11561;21-06-2024;Joshua John Miller;47;72;46;41;42;11098;36;28730;44;
196;tt26658104;21-05-2025;21-05-2025;;Imaginary;Imaginary;https://www.imdb.com/title/tt26658104/;Movie;7.199;104;2024;Horror, Mystery, Thriller;17439;08-03-2024;Jeff Wadlow;39;66;34;41;47;16975;36;69899;43;
197;tt19862722;21-05-2025;21-05-2025;;Find Me Falling;Find Me Falling;https://www.imdb.com/title/tt19862722/;Movie;7.200;93;2024;Comedy, Music, Romance;12858;19-07-2024;Stelana Kliris;51;18;50;41;63;12481;48;12423;57;
198;tt31022050;21-05-2025;21-05-2025;;Our Little Secret;Our Little Secret;https://www.imdb.com/title/tt31022050/;Movie;7.201;101;2024;Comedy, Romance;23766;27-11-2024;Stephen Herek;46;24;41;41;57;23269;46;152412;55;
199;tt2396431;21-05-2025;21-05-2025;;Dear Santa;Dear Santa;https://www.imdb.com/title/tt2396431/;Movie;7.202;107;2024;Comedy, Fantasy;18673;25-11-2024;Bobby Farrelly;38;15;34;41;54;18313;40;41650;42;
200;tt27459160;21-05-2025;21-05-2025;;Teri Baaton Mein Aisa Uljha Jiya;Teri Baaton Mein Aisa Uljha Jiya;https://www.imdb.com/title/tt27459160/;Movie;7.203;141;2024;Comedy, Drama, Romance, Sci-Fi;54231;09-02-2024;Amit Joshi, Aradhana Sah;55;15;*;*;62;52882;52;8758;56;
201;tt31522415;21-05-2025;21-05-2025;;Sikandar Ka Muqaddar;Sikandar ka Muqaddar;https://www.imdb.com/title/tt31522415/;Movie;7.204;142;2024;Action, Crime, Drama, Mystery, Thriller;24435;29-11-2024;Neeraj Pandey;*;*;*;*;60;24032;52;2678;56;
202;tt30970235;21-05-2025;21-05-2025;;Article 370;Article 370;https://www.imdb.com/title/tt30970235/;Movie;7.205;158;2024;Action, Drama, Thriller;24867;23-02-2024;Aditya Suhas Jambhale;68;5;*;*;78;24476;64;4559;70;
203;tt21626774;21-05-2025;21-05-2025;;Sector 36;Sector 36;https://www.imdb.com/title/tt21626774/;Movie;7.206;123;2024;Crime, Drama, Thriller;25441;13-09-2024;Aditya Nimbalkar;62;17;*;*;71;24954;66;11547;66;
204;tt32495687;21-05-2025;21-05-2025;;Sookshma Darshini;Sookshmadarshini;https://www.imdb.com/title/tt32495687/;Movie;7.207;142;2024;Comedy, Mystery, Thriller;10644;22-11-2024;Mc Jithin;*;*;*;*;78;9490;72;24800;75;
205;tt27995594;21-05-2025;21-05-2025;;Munjya;Munjya;https://www.imdb.com/title/tt27995594/;Movie;7.208;123;2024;Comedy, Horror;25709;07-06-2024;Aditya Sarpotdar;54;6;*;*;63;25114;54;8404;57;
206;tt30007864;21-05-2025;21-05-2025;;The American Society of Magical Negroes;The American Society of Magical Negroes;https://www.imdb.com/title/tt30007864/;Movie;7.209;104;2024;Comedy, Fantasy;12093;15-03-2024;Kobi Libii;49;43;50;41;37;11831;52;17549;42;
207;tt21957774;21-05-2025;21-05-2025;;Irish Wish;Irish Wish;https://www.imdb.com/title/tt21957774/;Movie;7.210;93;2024;Comedy, Fantasy, Romance;21599;15-03-2024;Janeen Damian;44;36;46;41;52;21254;38;944689;49;
208;tt26660021;21-05-2025;21-05-2025;;Aavesham;Aavesham;https://www.imdb.com/title/tt26660021/;Movie;7.211;155;2024;Action, Comedy;28436;11-04-2024;Jithu Madhavan;*;*;*;*;78;27161;76;39180;77;
209;tt12964320;21-05-2025;21-05-2025;;Role Play;Role Play;https://www.imdb.com/title/tt12964320/;Movie;7.212;100;2024;Action, Comedy, Romance;19081;12-01-2024;Thomas Vincent;47;34;38;41;55;18755;46;21307;49;
210;tt27056012;21-05-2025;21-05-2025;;Khel Khel Mein;Khel Khel Mein;https://www.imdb.com/title/tt27056012/;Movie;7.213;135;2024;Comedy, Drama;27459;15-08-2024;Mudassar Aziz;*;*;*;*;*;*;*;*;*;doesn't exist on the site
211;tt12930350;21-05-2025;21-05-2025;;My Spy: The Eternal City;My Spy: The Eternal City;https://www.imdb.com/title/tt12930350/;Movie;7.214;112;2024;Action, Comedy;10914;18-07-2024;Peter Segal;41;24;36;41;57;10631;48;10418;47;
212;tt32368345;21-05-2025;21-05-2025;;The Merry Gentlemen;The Merry Gentlemen;https://www.imdb.com/title/tt32368345/;Movie;7.215;87;2024;Comedy, Musical, Romance;10157;20-11-2024;Peter Sullivan;41;13;34;41;48;10011;34;42856;40;
213;tt29722855;21-05-2025;21-05-2025;;Badland Hunters;Hwangya;https://www.imdb.com/title/tt29722855/;Movie;7.216;107;2024;Action, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller;12443;26-01-2024;Heo Myeong-haeng;59;18;54;41;59;12099;58;23040;58;
214;tt32359447;21-05-2025;21-05-2025;;Hot Frosty;Hot Frosty;https://www.imdb.com/title/tt32359447/;Movie;7.217;92;2024;Comedy, Fantasy, Romance;14655;13-11-2024;Jerry Ciccoritti;55;27;50;41;53;14495;40;101852;52;
215;tt27470893;21-05-2025;21-05-2025;;Chandu Champion;Chandu Champion;https://www.imdb.com/title/tt27470893/;Movie;7.218;142;2024;Action, Biography, Drama, History, Sport, War;34015;14-06-2024;Kabir Khan;60;9;*;*;78;33656;68;5045;68;missing mc, check release date
216;tt14833464;21-05-2025;21-05-2025;;Players;Players;https://www.imdb.com/title/tt14833464/;Movie;7.219;105;2024;Comedy, Romance;12161;14-02-2024;Trish Sie;48;21;52;41;57;11931;50;47871;51;
217;tt11976134;21-05-2025;21-05-2025;;Singham Again;Singham Again;https://www.imdb.com/title/tt11976134/;Movie;7.220;144;2024;Action, Crime, Drama, Thriller;75043;01-11-2024;Rohit Shetty;54;11;*;*;48;74654;40;6573;47;missing mc, check release date
218;tt26733317;21-05-2025;21-05-2025;;Jigra;Jigra;https://www.imdb.com/title/tt26733317/;Movie;7.221;153;2024;Action, Crime, Drama, Thriller;23720;11-10-2024;Vasan Bala;56;7;*;*;60;23332;60;12497;58;missing mc, check release date
219;tt27744786;21-05-2025;21-05-2025;;Shaitaan;Shaitaan;https://www.imdb.com/title/tt27744786/;Movie;7.222;132;2024;Drama, Horror, Thriller;54609;08-03-2024;Vikas Bahl;54;14;*;*;65;54109;52;16207;57;missing mc, check release date
220;tt14855468;21-05-2025;21-05-2025;;That Christmas;That Christmas;https://www.imdb.com/title/tt14855468/;Movie;7.223;91;2024;Animation, Adventure, Comedy, Family, Fantasy;16987;04-12-2024;Simon Otto;59;26;60;41;68;16739;68;56372;69;
221;tt27431598;21-05-2025;21-05-2025;;Bramayugam;Bramayugam;https://www.imdb.com/title/tt27431598/;Movie;7.224;139;2024;Drama, Horror, Thriller;14238;15-02-2024;Rahul Sadasivan;46;3;*;*;78;13740;76;25302;66;missing mc, check release date
222;tt19838634;21-05-2025;21-05-2025;;Ulajh;Ulajh;https://www.imdb.com/title/tt19838634/;Movie;7.225;150;2024;Crime, Drama, Thriller;24174;02-08-2024;Sudhanshu Saria;59;7;*;*;60;24031;54;2399;57;missing mc, check release date
223;tt28288786;21-05-2025;21-05-2025;;Premalu;Premalu;https://www.imdb.com/title/tt28288786/;Movie;7.226;156;2024;Comedy, Romance;19786;09-02-2024;Girish A.D.;43;3;*;*;78;18929;74;28772;65;missing mc
224;tt14764464;21-05-2025;21-05-2025;;Code 8: Part II;Code 8: Part II;https://www.imdb.com/title/tt14764464/;Movie;7.227;100;2024;Action, Crime, Drama, Sci-Fi, Thriller;15976;28-02-2024;Jeff Chan;58;11;40;41;57;15652;52;15401;55;
225;tt22036406;21-05-2025;21-05-2025;;Kanguva;Kanguva;https://www.imdb.com/title/tt22036406/;Movie;7.228;152;2024;Action, Adventure, Drama, Fantasy, Thriller;14666;14-11-2024;Siva;*;*;*;*;45;14456;34;11035;40;no rt nor metacritic, check date
226;tt11821912;21-05-2025;21-05-2025;;Devara Part 1;Devara: Part 1;https://www.imdb.com/title/tt11821912/;Movie;7.229;176;2024;Action, Drama, Thriller;20558;26-09-2024;Koratala Siva;*;*;*;*;60;19998;52;14292;56;
227;tt4501268;21-05-2025;21-05-2025;;Maharaj;Maharaj;https://www.imdb.com/title/tt4501268/;Movie;7.230;131;2024;Biography, Crime, Drama, History, Thriller;15038;21-06-2024;Siddharth P Malhotra;50;7;*;*;65;14777;60;6801;58;no mc, check release date
228;tt5525650;21-05-2025;21-05-2025;;The Goat Life;The Goat Life;https://www.imdb.com/title/tt5525650/;Movie;7.231;173;2024;Adventure, Drama;47575;28-03-2024;Blessy;68;7;*;*;71;47021;68;21914;69;no mc, check date
229;tt27487934;21-05-2025;21-05-2025;;The Greatest of All Time;The Greatest of All Time;https://www.imdb.com/title/tt27487934/;Movie;7.232;183;2024;Action, Thriller;22712;03-10-2024;Venkat Prabhu;44;7;*;*;57;22192;50;21065;50;no mc, che
230;tt26936666;21-05-2025;21-05-2025;;Vettaiyan;Vettaiyan;https://www.imdb.com/title/tt26936666/;Movie;7.233;163;2024;Action, Crime, Drama;39647;10-10-2024;T.J. Gnanavel;*;*;*;*;70;39188;58;18694;64;no rt nor metacritic, check date
231;tt13885428;21-05-2025;21-05-2025;;Anweshippin Kandethum;Anweshippin Kandethum;https://www.imdb.com/title/tt13885428/;Movie;7.234;142;2024;Crime, Drama, Mystery, Thriller;10413;09-02-2024;Darwin Kuriakose;39;2;*;*;74;10008;66;13406;59;no mc, check date
232;tt10869778;21-05-2025;21-05-2025;;Maidaan;Maidaan;https://www.imdb.com/title/tt10869778/;Movie;7.235;181;2024;Biography, Drama, History, Sport;22763;10-04-2024;Amit Ravindernath Sharma;58;8;*;*;79;22503;72;7046;69;no mc, check date
233;tt23475174;21-05-2025;21-05-2025;;Sarfira;Sarfira;https://www.imdb.com/title/tt23475174/;Movie;7.236;155;2024;Drama;10836;12-07-2024;Sudha Kongara;54;8;*;*;69;10572;66;1047;63;no mc, check date
234;tt21383812;21-05-2025;21-05-2025;;Crew;Crew;https://www.imdb.com/title/tt21383812/;Movie;7.237;118;2024;Comedy, Drama;37133;29-03-2024;Rajesh A Krishnan;69;10;*;*;58;36910;60;16750;62;no mc, check date
235;tt26745657;21-05-2025;21-05-2025;;Madgaon Express;Madgaon Express;https://www.imdb.com/title/tt26745657/;Movie;7.238;143;2024;Comedy, Drama;41014;22-03-2024;Kunal Kemmu;63;7;*;*;70;40619;64;11103;65;no mc, check date
236;tt21469794;21-05-2025;21-05-2025;;Space Cadet;Space Cadet;https://www.imdb.com/title/tt21469794/;Movie;7.239;110;2024;Comedy;10127;04-07-2024;Liz W. Garcia;39;22;40;41;49;9913;46;22017;44;
237;tt26932223;21-05-2025;21-05-2025;;Bhool Bhulaiyaa 3;Bhool Bhulaiyaa 3;https://www.imdb.com/title/tt26932223/;Movie;7.240;158;2024;Comedy, Fantasy, Horror;77613;01-11-2024;Anees Bazmee;*;*;*;*;*;*;*;*;*;doesn't exist on the site
